type,ctc_c,u6_bonus,ps,decile,mean,pc_aftertaxinc,metr_reform
Nonref,3000,500,CL,20-Oct,5670,42.7,-16.7
Nonref,3000,500,CL,20-30,6525,31.1,4
Nonref,3000,500,CL,30-40,5989,19.5,12.4
Nonref,3000,500,CL,40-50,5290,12.6,12.1
Nonref,3000,500,CL,50-60,5440,9.7,9.4
Nonref,3000,500,CL,60-70,5682,7.7,12.3
Nonref,3000,500,CL,70-80,5706,5.8,17.5
Nonref,3000,500,CL,80-90,5416,4,20.5
Nonref,3000,500,CL,90-95,5345,2.8,21.3
Nonref,3000,500,CL,95-99,3613,1.1,26.1
Nonref,3000,500,CL,Top 1%,310,0,28.6
Nonref,3000,500,CL,ALL,5438,6.8,7.4
Nonref,3000,500,NO,0-10,1835,40.2,-32.4
Nonref,3000,500,NO,20-Oct,5670,42.7,-16.7
Nonref,3000,500,NO,20-30,6525,31.1,4
Nonref,3000,500,NO,30-40,5989,19.5,12.4
Nonref,3000,500,NO,40-50,5290,12.6,12.1
Nonref,3000,500,NO,50-60,5440,9.7,9.4
Nonref,3000,500,NO,60-70,5682,7.7,12.3
Nonref,3000,500,NO,70-80,5707,5.8,17.5
Nonref,3000,500,NO,80-90,5417,4,20.5
Nonref,3000,500,NO,90-95,5353,2.8,21.3
Nonref,3000,500,NO,95-99,5431,1.6,25.2
Nonref,3000,500,NO,Top 1%,5699,0.4,28.6
Nonref,3000,500,NO,ALL,5553,7,7.3
Nonref,3000,500,PT,0-10,1832,40.1,-32.4
Nonref,3000,500,PT,20-Oct,5670,42.7,-16.7
Nonref,3000,500,PT,20-30,6524,31.1,4
Nonref,3000,500,PT,30-40,5987,19.5,12.5
Nonref,3000,500,PT,40-50,5289,12.6,12.1
Nonref,3000,500,PT,50-60,5439,9.7,9.5
Nonref,3000,500,PT,60-70,5641,7.6,12.9
Nonref,3000,500,PT,70-80,5164,5.2,20.7
Nonref,3000,500,PT,80-90,2979,2.2,24.7
Nonref,3000,500,PT,90-95,752,0.4,22.7
Nonref,3000,500,PT,95-99,303,0.1,25.3
Nonref,3000,500,PT,Top 1%,191,0,28.6
